id	school_name	prefecture	course_type	duration_weeks	est_cost_yen	language_support	intake_schedule	notes
1	Osaka Driving School	Osaka	AT	4	300000	"Japanese, English"	"1st and 15th of each month"	"Free shuttle bus from major stations"
2	Tokyo Rainbow School	Tokyo	MT	5	330000	"Japanese"	"Every Monday"	"Intensive course available for extra fee"
3	Aichi International Driving Center	Aichi	AT	4	290000	"Japanese, Vietnamese, English"	"Every week"	"Có giáo viên người Việt. Student discount available."
4	Kobe Portside Driving School	Hyogo	AT	5	310000	"Japanese, Chinese"	"1st of each month"	"Seaside driving course is popular"
5	Chiba Express Drivers School	Chiba	MT	4	320000	"Japanese"	"Every Tuesday"	"Guaranteed graduation plan (追加料金)"
6	Kadoma Driving Academy	Osaka	AT	4	295000	"Japanese, Vietnamese"	"Every Monday"	"Very close to the license center"
7	Shinjuku Safety Drivers	Tokyo	AT	6	320000	"Japanese, English"	"Every Saturday"	"Night lessons available"
8	Nagoya Driving College	Aichi	MT	5	340000	"Japanese"	"1st of each month"	"Focus on highway driving skills"
9	Yokohama Driving School	Kanagawa	AT	4	305000	"Japanese, English"	"Every Wednesday"	"Female instructors available"
10	Saitama Green Driving School	Saitama	AT	5	280000	"Japanese"	"Every other Monday"	"Affordable pricing, large practice course"
11	Fukuoka Wing School	Fukuoka	MT	4	315000	"Japanese"	"1st of each month"	"Motorcycle license courses also offered"
12	Kyoto Miyabi Driving School	Kyoto	AT	6	340000	"Japanese, English"	"Every Friday"	"Located in a scenic area"
13	Sapporo Snow Drive School	Hokkaido	AT	5	350000	"Japanese"	"Every Monday (Winter course)"	"Specializes in winter/snow driving techniques"
14	Hiroshima Peace Driving	Hiroshima	AT	4	295000	"Japanese, English"	"10th of each month"	"Flexible scheduling options"
15	Sendai Key-Point School	Miyagi	MT	5	325000	"Japanese"	"Every Thursday"	"Good reputation for passing the test on first try"
16	Naniwa Driving School	Osaka	AT	4	285000	"Japanese, Vietnamese"	"Every Monday"	"Hỗ trợ đăng ký và thi bằng tiếng Việt."
17	Setagaya Driving Institute	Tokyo	AT	5	330000	"Japanese, English"	"Every other Wednesday"	"Focus on safe driving in urban environments"
18	Toyoda Driving Center	Aichi	MT	4	335000	"Japanese, Portuguese"	"1st and 15th of each month"	"Popular with the Brazilian community"
19	Himeji Castle View School	Hyogo	AT	6	320000	"Japanese"	"1st of each month"	"Practice course has a view of Himeji Castle"
