id	prefecture	nationality	required_documents	total_fees_yen	processing_steps	office_address	official_link	last_updated
1	Osaka	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
2	Tokyo	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo 3x2.4cm"	7800	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
3	Aichi	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
4	Hyogo	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7550	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"3-1-1 Akashi-cho, Chuo-ku, Kobe, Hyogo"	https://www.police.pref.hyogo.jp/	2024-05-10
5	Chiba	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7700	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"2-1 Hamada, Mihama-ku, Chiba"	https://www.police.pref.chiba.jp/	2024-05-21
6	Tokyo	USA	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"1-12-36 Samezu, Shinagawa-ku, Tokyo"	https://www.keishicho.metro.tokyo.lg.jp/	2024-05-15
7	Osaka	Philippines	"Passport,Residence Card,Original License,JAF Translation,Photo"	7500	"Document Check;Aptitude Test;Written Test (English);Practical Test"	"1-1-10 Midorimachi, Kadoma, Osaka"	https://www.police.pref.osaka.lg.jp/	2024-05-20
8	Aichi	Brazil	"Passport,Residence Card,Original License,JAF Translation,Photo"	7650	"Document Check;Aptitude Test;Written Test (Portuguese);Practical Test"	"2-1 Hirabari Minami, Tempaku-ku, Nagoya, Aichi"	https://www.pref.aichi.jp/police/	2024-05-18
9	Kanagawa	UK	"Passport,Residence Card,Original License,JAF Translation,Photo"	4500	"Document Check;Aptitude Test"	"2-3-1 Nakao, Asahi-ku, Yokohama, Kanagawa"	https://www.police.pref.kanagawa.jp/	2024-05-19
10	Saitama	Vietnam	"Passport,Residence Card,Original License,JAF Translation,Photo"	7600	"Document Check;Aptitude Test;Written Test (Vietnamese);Practical Test"	"4-2-1 Kounosu, Kounosu, Saitama"	https://www.police.pref.saitama.lg.jp/	2024-05-11
